Date,AddressNumberAndStreet,Latitude,Longitude,WnvPresent,Year,Month,Day,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Cool,Sunrise,Sunset,PrecipTotal,ResultSpeed,ResultDir,NumMosquitos,Species_CULEX ERRATICUS,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS
2007-05-29,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0,2007,5,29,88,60,74,10,58,65,9,421,1917,0.0,5.8,18,1,0,0,1,0,0,0,0
2007-05-29,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0,2007,5,29,88,60,74,10,58,65,9,421,1917,0.0,5.8,18,1,0,0,0,1,0,0,0
2007-05-29,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,0,2007,5,29,88,60,74,10,58,65,9,421,1917,0.0,5.8,18,1,0,0,0,1,0,0,0
2007-05-29,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0,2007,5,29,88,60,74,10,58,65,9,421,1917,0.0,5.8,18,1,0,0,1,0,0,0,0
2007-05-29,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0,2007,5,29,88,60,74,10,58,65,9,421,1917,0.0,5.8,18,4,0,0,0,1,0,0,0
2007-05-29,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0,2007,5,29,88,60,74,10,58,65,9,421,1917,0.0,5.8,18,2,0,0,0,1,0,0,0
2007-05-29,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000002,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,1,0,0,0,1,0,0,0
2007-05-29,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,1,0,0,1,0,0,0,0
2007-05-29,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,2,0,0,0,1,0,0,0
2007-05-29,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,1,0,0,0,1,0,0,0
2007-05-29,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,0,2007,5,29,88,60,74,10,58,65,9,421,1917,0.0,5.8,18,1,0,0,1,0,0,0,0
2007-05-29,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,0,2007,5,29,88,60,74,10,58,65,9,421,1917,0.0,5.8,18,2,0,0,1,0,0,0,0
2007-05-29,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,0,2007,5,29,88,60,74,10,58,65,9,421,1917,0.0,5.8,18,3,0,0,0,1,0,0,0
2007-05-29,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,1,0,0,1,0,0,0,0
2007-05-29,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,1,0,0,0,1,0,0,0
2007-05-29,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,1,0,0,0,1,0,0,0
2007-05-29,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,3,0,0,0,1,0,0,0
2007-05-29,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,5,0,0,0,1,0,0,0
2007-05-29,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,1,0,1,0,0,0,0,0
2007-05-29,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,1,0,0,1,0,0,0,0
2007-05-29,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,2,0,0,0,1,0,0,0
2007-05-29,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,0,2007,5,29,88,60,74,10,58,65,9,421,1917,0.0,5.8,18,1,0,0,1,0,0,0,0
2007-05-29,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999997,0,2007,5,29,88,60,74,10,58,65,9,421,1917,0.0,5.8,18,1,0,0,1,0,0,0,0
2007-05-29,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,0,2007,5,29,88,60,74,10,58,65,9,421,1917,0.0,5.8,18,1,0,0,0,1,0,0,0
2007-05-29,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,0,2007,5,29,88,65,77,10,59,66,12,421,1917,0.0,5.8,16,1,0,0,0,1,0,0,0
2007-06-05,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0,2007,6,5,64,47,56,-9,48,51,0,417,1923,0.42,5.2,5,3,0,0,1,0,0,0,0
2007-06-05,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0,2007,6,5,64,47,56,-9,48,51,0,417,1923,0.42,5.2,5,5,0,0,0,1,0,0,0
2007-06-05,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0,2007,6,5,64,47,56,-9,48,51,0,417,1923,0.42,5.2,5,1,0,1,0,0,0,0,0
2007-06-05,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0,2007,6,5,64,47,56,-9,48,51,0,417,1923,0.42,5.2,5,1,0,0,1,0,0,0,0
2007-06-05,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0,2007,6,5,64,47,56,-9,48,51,0,417,1923,0.42,5.2,5,2,0,0,0,1,0,0,0
2007-06-05,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0,2007,6,5,64,47,56,-9,48,51,0,417,1923,0.42,5.2,5,1,0,0,1,0,0,0,0
2007-06-05,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0,2007,6,5,64,47,56,-9,48,51,0,417,1923,0.42,5.2,5,2,0,0,0,1,0,0,0
