Date,Species,AddressNumberAndStreet,Latitude,Longitude,NumMosquitos,WnvPresent,Year,Month,Day,CULEX ERRATICUS,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Cool,Sunrise,Sunset,PrecipTotal,ResultSpeed,ResultDir
2007-05-29,CULEX PIPIENS/RESTUANS,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,1,0,2007,5,29,0,0,1,0,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,CULEX RESTUANS,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,1,0,2007,5,29,0,0,0,1,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,CULEX RESTUANS,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,1,0,2007,5,29,0,0,0,1,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,CULEX PIPIENS/RESTUANS,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,1,0,2007,5,29,0,0,1,0,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,CULEX RESTUANS,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,4,0,2007,5,29,0,0,0,1,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,CULEX RESTUANS,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,2,0,2007,5,29,0,0,0,1,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,CULEX RESTUANS,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,CULEX PIPIENS/RESTUANS,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,1,0,2007,5,29,0,0,1,0,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,CULEX RESTUANS,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,2,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,CULEX RESTUANS,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
