Date,Num_Duplicates,WnvPresent,Year,Month,Day,CULEX ERRATICUS,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Cool,Sunrise,Sunset,PrecipTotal,ResultSpeed,ResultDir
2007-05-29,1,0,2007,5,29,0,0,1,0,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,0,2007,5,29,0,0,0,1,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,0,2007,5,29,0,0,0,1,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,0,2007,5,29,0,0,1,0,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,0,2007,5,29,0,0,0,1,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,0,2007,5,29,0,0,0,1,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,0,2007,5,29,0,0,1,0,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,0,2007,5,29,0,0,0,1,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
2007-05-29,1,0,2007,5,29,0,0,1,0,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,0,2007,5,29,0,0,1,0,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,0,2007,5,29,0,0,0,1,0,0,0,88,60,74,10,58,65, 9,0421,1917,0.00,5.8,18
2007-05-29,1,0,2007,5,29,0,0,1,0,0,0,0,88,65,77,10,59,66,12,0421,1917,0.00,5.8,16
